ID	Symbol	Description
LOCMI05970	LOCMI05970	lipase 3
LOCMI05971	LOCMI05971	PREDICTED: transcription elongation factor SPT4 isoform 2
LOCMI05972	LOCMI05972	PREDICTED: mitochondrial ubiquitin ligase activator of nfkb 1-like
LOCMI05976	LOCMI05976	alpha-glucosidase
LOCMI05979	LOCMI05979	Sox21b
LOCMI05980	LOCMI05980	DnaJ-like protein subfamily C member 11
LOCMI05981	LOCMI05981	Coatomer subunit beta', putative
LOCMI05984	LOCMI05984	Coagulation factor X
LOCMI05985	LOCMI05985	C3XPX8_BRAFL Putative uncharacterized protein
LOCMI05987	LOCMI05987	A6QQC5_BOVIN Putative uncharacterized protein (Fragment)
LOCMI05991	LOCMI05991	A7RIH1_NEMVE Predicted protein
LOCMI05995	LOCMI05995	B0WE54_CULQU Putative uncharacterized protein
LOCMI05997	LOCMI05997	PREDICTED: solute carrier family 25 member 36-like
LOCMI05998	LOCMI05998	PREDICTED: acid phosphatase-like protein 2-like
LOCMI06003	LOCMI06003	Scaffold attachment factor B2, putative
LOCMI06006	LOCMI06006	Structural maintenance of chromosomes protein 4
LOCMI06009	LOCMI06009	C3Y0S3_BRAFL Putative uncharacterized protein
LOCMI06013	LOCMI06013	Q5TX98_ANOGA AGAP002198-PA
LOCMI06015	LOCMI06015	PREDICTED: splicing factor 3A subunit 3
LOCMI06016	LOCMI06016	uridine 5'-monophosphate synthase
LOCMI06021	LOCMI06021	B3NGX6_DROER GG15515
LOCMI06025	LOCMI06025	Enhancer of split mgamma protein, putative
LOCMI06027	LOCMI06027	Q0IET8_AEDAE SEC63 protein, putative
LOCMI06030	LOCMI06030	B0W9K6_CULQU Putative uncharacterized protein
LOCMI06031	LOCMI06031	Q17B01_AEDAE Putative uncharacterized protein
LOCMI06033	LOCMI06033	PREDICTED: solute carrier family 35 member E2-like
LOCMI06034	LOCMI06034	alpha-mannosidase, putative
LOCMI06039	LOCMI06039	C7AAS7_CALMS Putative gut cathepsin D-like aspartic protease
LOCMI06040	LOCMI06040	Collagen alpha-1(XV) chain
LOCMI06042	LOCMI06042	DNA double-strand break repair and VJ recombination XRCC4
LOCMI06044	LOCMI06044	Q171H6_AEDAE Putative uncharacterized protein
LOCMI06048	LOCMI06048	L-xylulose reductase
LOCMI06052	LOCMI06052	A8Q5X6_BRUMA Nhl domain containing protein 3, putative
LOCMI06057	LOCMI06057	Sorbin and SH3 domain-containing protein 1
LOCMI06059	LOCMI06059	PREDICTED: rap guanine nucleotide exchange factor 2-like
LOCMI06060	LOCMI06060	PREDICTED: cysteine dioxygenase type 1-like
LOCMI06065	LOCMI06065	PREDICTED: eukaryotic translation initiation factor 3 subunit B-like isoform 2
LOCMI06067	LOCMI06067	trafficking protein particle complex protein, putative
LOCMI06068	LOCMI06068	B0WIP1_CULQU Ribonuclease Z, mitochondrial
LOCMI06074	LOCMI06074	mCG23718
LOCMI06076	LOCMI06076	B7QIN8_IXOSC Zinc finger protein, putative (Fragment)
LOCMI06079	LOCMI06079	B4IIY1_DROSE GM26772
LOCMI06083	LOCMI06083	PREDICTED: clavesin-1-like
LOCMI06084	LOCMI06084	PREDICTED: probable phospholipid-transporting ATPase ID-like
LOCMI06087	LOCMI06087	A7URQ4_ANOGA AGAP007137-PB (Fragment)
LOCMI06089	LOCMI06089	Tetraspanin-33
LOCMI06090	LOCMI06090	protein ROP, putative
LOCMI06091	LOCMI06091	CCR4-NOT transcription complex subunit 3
LOCMI06093	LOCMI06093	Protein hu-li tai shao
LOCMI06095	LOCMI06095	B7Q1Y8_IXOSC Putative uncharacterized protein
LOCMI06096	LOCMI06096	B4LZY2_DROVI GJ23213
LOCMI06101	LOCMI06101	GG25148
LOCMI06106	LOCMI06106	PREDICTED: ATP-dependent RNA helicase DDX54-like
LOCMI06107	LOCMI06107	chaoptin, putative
LOCMI06108	LOCMI06108	Q8MYP5_CAEEL Na/ca exchangers protein 2, isoform a
LOCMI06109	LOCMI06109	Insulin-like growth factor-binding protein, IGFBP
LOCMI06111	LOCMI06111	PREDICTED: sodium/potassium-transporting ATPase subunit beta-2-like
LOCMI06115	LOCMI06115	PREDICTED: troponin C-like
LOCMI06119	LOCMI06119	Q17L28_AEDAE Putative uncharacterized protein
LOCMI06120	LOCMI06120	Q17H68_AEDAE Microtubule binding protein, putative (Fragment)
LOCMI06122	LOCMI06122	B0W950_CULQU Putative uncharacterized protein
LOCMI06123	LOCMI06123	B0W950_CULQU Putative uncharacterized protein
LOCMI06127	LOCMI06127	GH24378
LOCMI06128	LOCMI06128	B0WCD8_CULQU Putative uncharacterized protein
LOCMI06131	LOCMI06131	Q8STD2_DROME RH03711p
LOCMI06132	LOCMI06132	C3NIT9_SULIN Ankyrin
LOCMI06134	LOCMI06134	C3NIT9_SULIN Ankyrin
LOCMI06138	LOCMI06138	B4LLJ6_DROVI GJ20627
LOCMI06139	LOCMI06139	sterol regulatory element binding protein cleavage-activating protein (srebp cleavage-activating protein) (scap)
LOCMI06140	LOCMI06140	Merlin
LOCMI06141	LOCMI06141	PREDICTED: probable U3 small nucleolar RNA-associated protein 11-like
LOCMI06144	LOCMI06144	Homeotic gene regulator, putative
LOCMI06145	LOCMI06145	Large subunit GTPase 1-like protein
LOCMI06148	LOCMI06148	BCL-6 corepressor
LOCMI06149	LOCMI06149	PREDICTED: LOW QUALITY PROTEIN: DNA-directed RNA polymerase I subunit RPA1-like
LOCMI06150	LOCMI06150	PREDICTED: multidrug resistance-associated protein 4-like
LOCMI06151	LOCMI06151	PREDICTED: probable multidrug resistance-associated protein lethal(2)03659-like
LOCMI06153	LOCMI06153	PREDICTED: general transcription factor IIF subunit 1-like
LOCMI06158	LOCMI06158	Probable multidrug resistance-associated protein lethal(2)03659
LOCMI06159	LOCMI06159	PREDICTED: palmitoyltransferase ZDHHC3-like
LOCMI06160	LOCMI06160	peritrophic membrane protein 1
LOCMI06161	LOCMI06161	Chitin binding domain
LOCMI06162	LOCMI06162	Q8T4R3_AEDAE Putative mucin-like protein
LOCMI06163	LOCMI06163	mucin-like peritrophin
LOCMI06164	LOCMI06164	PREDICTED: DNA topoisomerase 2-binding protein 1-A-like
LOCMI06168	LOCMI06168	Q5TNH7_ANOGA AGAP009307-PA
LOCMI06172	LOCMI06172	C3YTQ7_BRAFL Putative uncharacterized protein
LOCMI06174	LOCMI06174	PREDICTED: tyrosine-protein phosphatase 10D-like
LOCMI06175	LOCMI06175	heat shock protein 20.7
LOCMI06177	LOCMI06177	endocuticle structural glycoprotein ABD-4
LOCMI06180	LOCMI06180	PREDICTED: ribonucleases P/MRP protein subunit POP1-like
LOCMI06182	LOCMI06182	PREDICTED: type I inositol-3,4-bisphosphate 4-phosphatase-like
LOCMI06183	LOCMI06183	ubiquitin carboxy-terminal hydrolase CG4265
LOCMI06184	LOCMI06184	Q16KR1_AEDAE Putative uncharacterized protein
LOCMI06186	LOCMI06186	Q16KQ9_AEDAE Putative uncharacterized protein
LOCMI06187	LOCMI06187	B0X6X4_CULQU Tenascin
LOCMI06188	LOCMI06188	B0X6X2_CULQU Dumpy
LOCMI06189	LOCMI06189	Q7Q112_ANOGA AGAP010024-PA (Fragment)
LOCMI06190	LOCMI06190	AGAP010024-PA
LOCMI06191	LOCMI06191	B0X6X2_CULQU Dumpy
LOCMI06194	LOCMI06194	PREDICTED: inositol polyphosphate 5-phosphatase OCRL-1-like isoform 2
LOCMI06195	LOCMI06195	PREDICTED: 72 kDa inositol polyphosphate 5-phosphatase-like
LOCMI06197	LOCMI06197	N-acetylgalactosamine kinase, putative
LOCMI06199	LOCMI06199	B5DRS0_DROPS GA28270
LOCMI06201	LOCMI06201	innexin 2
LOCMI06203	LOCMI06203	PREDICTED: similar to High mobility group protein DSP1 (Protein dorsal switch 1)
LOCMI06204	LOCMI06204	Monocarboxylate transporter 12
LOCMI06205	LOCMI06205	PREDICTED: similar to cation-transporting ATPase
LOCMI06213	LOCMI06213	B7PG01_IXOSC Kekkon1 (Kek1), putative
LOCMI06214	LOCMI06214	limbic system-associated membrane protein precursor, putative
LOCMI06215	LOCMI06215	Q16M29_AEDAE Sugar transporter
LOCMI06217	LOCMI06217	PREDICTED: similar to CG10936 CG10936-PA
LOCMI06218	LOCMI06218	Forkhead transcription factor HCM1
LOCMI06220	LOCMI06220	A7RVS1_NEMVE Predicted protein
LOCMI06222	LOCMI06222	Q4GXD7_PLAAL Ribosomal protein L26e
LOCMI06228	LOCMI06228	B0ZYQ1_LEPDE Putative cuticle protein CP5
LOCMI06229	LOCMI06229	calcium-transporting ATPase type 2C member, putative
LOCMI06231	LOCMI06231	integrator complex subunit 12
LOCMI06232	LOCMI06232	Q8WSJ2_BOMMO Ovarian serine protease
LOCMI06239	LOCMI06239	A2DXB5_TRIVA Ankyrin repeat protein, putative
LOCMI06244	LOCMI06244	PREDICTED: regulator of nonsense transcripts 1
LOCMI06247	LOCMI06247	Q7QF61_ANOGA AGAP000320-PA (Fragment)
LOCMI06248	LOCMI06248	Q16T87_AEDAE Putative uncharacterized protein
LOCMI06249	LOCMI06249	Nuclear distribution protein nudF, putative
LOCMI06250	LOCMI06250	PREDICTED: kinesin-like protein KIF17-like
LOCMI06251	LOCMI06251	Chromatin-remodeling complex ATPase chain Iswi
LOCMI06253	LOCMI06253	B4ML83_DROWI GK17385
LOCMI06254	LOCMI06254	AGAP007055-PA
LOCMI06256	LOCMI06256	GA18498
LOCMI06257	LOCMI06257	PREDICTED: 40S ribosomal protein S5a-like
LOCMI06258	LOCMI06258	Q17PG3_AEDAE Tyrosine-protein kinase drl
LOCMI06259	LOCMI06259	histone H2B
LOCMI06263	LOCMI06263	PREDICTED: similar to argininosuccinate lyase
LOCMI06264	LOCMI06264	PREDICTED: formimidoyltransferase-cyclodeaminase-like
LOCMI06265	LOCMI06265	PREDICTED: rhomboid-related protein 3-like isoform 1
LOCMI06267	LOCMI06267	serine/threonine-protein kinase, putative
LOCMI06268	LOCMI06268	E3 ubiquitin-protein ligase RNF25
LOCMI06269	LOCMI06269	3-5 exonuclease
LOCMI06270	LOCMI06270	B4K8E8_DROMO GI22177
LOCMI06273	LOCMI06273	PREDICTED: synaptosomal-associated protein 25-like isoform 1
LOCMI06275	LOCMI06275	sodium-dependent nutrient amino acid transporter, putative
LOCMI06276	LOCMI06276	Q7ZVM5_DANRE Tubulin, gamma-like
LOCMI06277	LOCMI06277	sodium-dependent nutrient amino acid transporter, putative
LOCMI06278	LOCMI06278	PREDICTED: similar to voltage-dependent anion-selective channel isoform 1
LOCMI06280	LOCMI06280	Q17H36_AEDAE Oligosaccharyl transferase
LOCMI06281	LOCMI06281	Down syndrome cell adhesion molecule-like protein
LOCMI06285	LOCMI06285	PREDICTED: arginyl-tRNA synthetase, cytoplasmic-like
LOCMI06286	LOCMI06286	GK20701
LOCMI06288	LOCMI06288	tudor domain-containing protein 1
LOCMI06290	LOCMI06290	B0WZZ2_CULQU Putative uncharacterized protein
LOCMI06293	LOCMI06293	Poly(A) polymerase gamma
LOCMI06295	LOCMI06295	A2VCZ3_XENTR Svil protein
LOCMI06296	LOCMI06296	PREDICTED: similar to ribosomal protein L37e
LOCMI06298	LOCMI06298	PREDICTED: regulator of telomere elongation helicase 1 homolog
LOCMI06300	LOCMI06300	Sodium-dependent neutral amino acid transporter B(0)
LOCMI06301	LOCMI06301	alpha-amylase
LOCMI06306	LOCMI06306	WD repeat-containing protein 60
LOCMI06308	LOCMI06308	Calpain-5, putative
LOCMI06310	LOCMI06310	A2I465_MACHI Putative uncharacterized protein
LOCMI06314	LOCMI06314	PREDICTED: similar to pickpocket
LOCMI06315	LOCMI06315	Q16KN9_AEDAE Unconventional myosin 95e isoform
LOCMI06316	LOCMI06316	Protein unc-13-like protein B
LOCMI06322	LOCMI06322	GF14155
LOCMI06323	LOCMI06323	B0WLK6_CULQU N-acetylgalactosaminyltransferase
LOCMI06324	LOCMI06324	PREDICTED: activating transcription factor of chaperone-like isoform 2
LOCMI06328	LOCMI06328	NADH dehydrogenase subunit 5
LOCMI06330	LOCMI06330	PREDICTED: similar to myb
LOCMI06335	LOCMI06335	Histone H3c
LOCMI06336	LOCMI06336	PREDICTED: pumilio homolog 2
LOCMI06337	LOCMI06337	PREDICTED: cytoskeleton-associated protein 5-like
LOCMI06338	LOCMI06338	protein BAT5, putative
LOCMI06341	LOCMI06341	WD-repeat protein, putative
LOCMI06342	LOCMI06342	PREDICTED: cytoplasmic FMR1-interacting protein-like
LOCMI06345	LOCMI06345	Glyoxylate reductase/hydroxypyruvate reductase
LOCMI06346	LOCMI06346	PREDICTED: similar to malate dehydrogenase
LOCMI06349	LOCMI06349	C3ZM42_BRAFL Putative uncharacterized protein
LOCMI06352	LOCMI06352	Q7Q6I2_ANOGA AGAP005832-PB
LOCMI06355	LOCMI06355	Small G protein signaling modulator 3-like protein
LOCMI06356	LOCMI06356	Nucleolar complex protein 3-like protein
LOCMI06357	LOCMI06357	PREDICTED: myosin-XVIIIa isoform 1
LOCMI06358	LOCMI06358	vacuolar protein sorting-associated protein 72, putative
LOCMI06361	LOCMI06361	F-box domain, cyclin-like IPR022364; F-box domain, Skp2-like
LOCMI06363	LOCMI06363	PREDICTED: similar to 52 kDa repressor of the inhibitor of the protein kinase (p58IPK-interacting protein) (58 kDa interferon-induced protein kinase-interacting protein) (P52rIPK) (Death-associated protein 4) (THAP domain-containing protein 0)...
LOCMI06366	LOCMI06366	mitochondrial ribosomal protein, L46, putative
LOCMI06370	LOCMI06370	PREDICTED: similar to putative GABA-A receptor associated protein
LOCMI06371	LOCMI06371	PREDICTED: small subunit processome component 20 homolog
LOCMI06373	LOCMI06373	PREDICTED: insulin-like growth factor 2 receptor-like
LOCMI06379	LOCMI06379	PREDICTED: tRNA-dihydrouridine synthase 3-like
LOCMI06385	LOCMI06385	alpha-mannosidase, putative
LOCMI06386	LOCMI06386	Putative palmitoyltransferase ZDHHC16
LOCMI06388	LOCMI06388	PREDICTED: activating signal cointegrator 1 complex subunit 3-like
LOCMI06391	LOCMI06391	B0WJ24_CULQU Carbamoyl-phosphate synthase large chain
LOCMI06392	LOCMI06392	B7YZF0_DROME Skiff, isoform C
LOCMI06394	LOCMI06394	Transcription factor HES-4
LOCMI06395	LOCMI06395	C3ZTH9_BRAFL Putative uncharacterized protein
LOCMI06398	LOCMI06398	putative cell cycle control protein cwf22
LOCMI06399	LOCMI06399	actin
LOCMI06403	LOCMI06403	cathepsin C
LOCMI06404	LOCMI06404	cathepsin C
LOCMI06407	LOCMI06407	PREDICTED: F-box/WD repeat-containing protein 5-like
LOCMI06408	LOCMI06408	Uncharacterized protein C7orf10-like protein
LOCMI06409	LOCMI06409	DNA-directed RNA polymerase I subunit RPA12
LOCMI06411	LOCMI06411	Dipeptidase 1
LOCMI06412	LOCMI06412	Short-chain dehydrogenase/reductase SDR
LOCMI06413	LOCMI06413	IQ motif, EF-hand binding site
LOCMI06414	LOCMI06414	Q7QCB1_ANOGA AGAP002540-PA (Fragment)
LOCMI06420	LOCMI06420	C4WWG3_ACYPI ACYPI003233 protein
LOCMI06423	LOCMI06423	beta-glucosidase
LOCMI06426	LOCMI06426	Iodotyrosine dehalogenase 1 precursor, putative
LOCMI06427	LOCMI06427	C1C095_9MAXI Abhydrolase domain-containing protein 12
LOCMI06429	LOCMI06429	PREDICTED: cysteinyl-tRNA synthetase, cytoplasmic-like
LOCMI06430	LOCMI06430	PREDICTED: aquaporin AQPAn.G-like
LOCMI06431	LOCMI06431	PREDICTED: aquaporin AQPcic-like isoform 1
LOCMI06433	LOCMI06433	PREDICTED: e3 ubiquitin-protein ligase TRIM23-like
LOCMI06435	LOCMI06435	PREDICTED: HSPB1-associated protein 1-like
LOCMI06436	LOCMI06436	B7QDJ4_IXOSC Putative uncharacterized protein
LOCMI06437	LOCMI06437	PREDICTED: similar to trypsin-like serine proteinase
LOCMI06438	LOCMI06438	starry night
LOCMI06440	LOCMI06440	trypsin, putative
LOCMI06444	LOCMI06444	Transcription initiation factor TFIID subunit 3
LOCMI06445	LOCMI06445	Uncharacterized FAM18-like protein CG5021
LOCMI06446	LOCMI06446	B0X4B4_CULQU Putative uncharacterized protein
LOCMI06449	LOCMI06449	PREDICTED: similar to ADAM metalloprotease CG1964
LOCMI06451	LOCMI06451	Ubiquitin carboxyl-terminal hydrolase 7
LOCMI06452	LOCMI06452	Dmc1 homolog
LOCMI06455	LOCMI06455	PREDICTED: guanine nucleotide-releasing factor 2-like
LOCMI06456	LOCMI06456	PREDICTED: kinesin-like protein KIF23
LOCMI06459	LOCMI06459	PREDICTED: RING finger protein 146-like
LOCMI06460	LOCMI06460	Xaa-Pro aminopeptidase, putative
LOCMI06461	LOCMI06461	PREDICTED: COP9 signalosome complex subunit 4-like
LOCMI06462	LOCMI06462	PREDICTED: similar to voltage-dependent anion-selective channel isoform 1
LOCMI06464	LOCMI06464	Synaptotagmin-10
LOCMI06465	LOCMI06465	farnesyltransferase alpha subunit
LOCMI06467	LOCMI06467	J domain-containing protein, putative
LOCMI06472	LOCMI06472	profilin
LOCMI06474	LOCMI06474	PREDICTED: leucine-rich repeat-containing G-protein coupled receptor 4 isoform 1
LOCMI06475	LOCMI06475	rabconnectin, putative
LOCMI06478	LOCMI06478	PREDICTED: bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial-like
LOCMI06479	LOCMI06479	PREDICTED: bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial-like
LOCMI06482	LOCMI06482	B3NX88_DROER GG19531
LOCMI06484	LOCMI06484	PREDICTED: THAP domain-containing protein 2
LOCMI06490	LOCMI06490	B4NJS5_DROWI GK12817
LOCMI06493	LOCMI06493	RNA U small nuclear RNA export adapter protein, putative
LOCMI06494	LOCMI06494	PREDICTED: unc-112-related protein-like
LOCMI06495	LOCMI06495	PREDICTED: probable DNA replication complex GINS protein PSF2-like
LOCMI06496	LOCMI06496	PREDICTED: similar to 52 kDa repressor of the inhibitor of the protein kinase (p58IPK-interacting protein) (58 kDa interferon-induced protein kinase-interacting protein) (P52rIPK) (Death-associated protein 4) (THAP domain-containing protein 0)...
LOCMI06497	LOCMI06497	PREDICTED: TAR DNA-binding protein 43-like
LOCMI06498	LOCMI06498	60S ribosomal protein L24, putative
LOCMI06502	LOCMI06502	C3Y5B7_BRAFL Putative uncharacterized protein
LOCMI06503	LOCMI06503	PREDICTED: similar to calmodulin-binding transcription activator
LOCMI06504	LOCMI06504	PREDICTED: putative fatty acyl-CoA reductase CG5065-like isoform 1
LOCMI06505	LOCMI06505	B0W492_CULQU Putative uncharacterized protein
LOCMI06507	LOCMI06507	C3Y727_BRAFL Putative uncharacterized protein
LOCMI06508	LOCMI06508	PREDICTED: fat-like cadherin-related tumor suppressor homolog, partial
LOCMI06513	LOCMI06513	PREDICTED: similar to ATP-binding cassette transporter
LOCMI06514	LOCMI06514	PREDICTED: multidrug resistance-associated protein 4-like
LOCMI06517	LOCMI06517	A9C3Q0_DANRE Novel protein similar to vertebrate glycosyltransferase 25 domain containing 1 (GLT25D1)
LOCMI06519	LOCMI06519	PREDICTED: similar to GA11625-PA
LOCMI06521	LOCMI06521	forkhead protein/ forkhead protein domain
LOCMI06525	LOCMI06525	PREDICTED: protein dopey-1 homolog isoform 3
LOCMI06526	LOCMI06526	Agrin precursor, putative
LOCMI06530	LOCMI06530	organic cation transporter, putative
LOCMI06531	LOCMI06531	ELAV-like protein 2
LOCMI06534	LOCMI06534	GA24537
LOCMI06535	LOCMI06535	PREDICTED: cyclin-dependent kinase 1-like isoform 1
LOCMI06536	LOCMI06536	TNF receptor-associated factor, putative
LOCMI06538	LOCMI06538	PREDICTED: transient receptor potential cation channel protein painless-like isoform 1
LOCMI06540	LOCMI06540	Q29LN9_DROPS GA16381
LOCMI06542	LOCMI06542	PREDICTED: sorting nexin-13-like
LOCMI06544	LOCMI06544	B7QKA0_IXOSC Putative uncharacterized protein
LOCMI06545	LOCMI06545	AGAP004107-PA
LOCMI06546	LOCMI06546	PREDICTED: oxysterol-binding protein-related protein 1-like
LOCMI06547	LOCMI06547	C3Z7B2_BRAFL Putative uncharacterized protein
LOCMI06548	LOCMI06548	PREDICTED: peroxisome biogenesis protein 1-like
LOCMI06549	LOCMI06549	PREDICTED: zinc finger protein 211-like isoform 2
LOCMI06551	LOCMI06551	C3ZA61_BRAFL Putative uncharacterized protein
LOCMI06552	LOCMI06552	UDP-glucose:glycoprotein glucosyltransferase 2 precursor, putative
LOCMI06553	LOCMI06553	PREDICTED: methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial-like
LOCMI06555	LOCMI06555	PREDICTED: kinesin-like protein KIF11
LOCMI06557	LOCMI06557	5-formyltetrahydrofolate cyclo-ligase
LOCMI06560	LOCMI06560	B3M1V6_DROAN GF17121
LOCMI06561	LOCMI06561	Peptidase cysteine/serine, trypsin-like
LOCMI06565	LOCMI06565	B5XBE3_SALSA Mitochondrial 2-oxoglutarate/malate carrier protein
LOCMI06566	LOCMI06566	GK14716
LOCMI06567	LOCMI06567	Spc97/Spc98
LOCMI06568	LOCMI06568	BESS motif IPR006578; MADF domain
LOCMI06569	LOCMI06569	PREDICTED: calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type-like
LOCMI06570	LOCMI06570	Density-regulated protein
LOCMI06571	LOCMI06571	PREDICTED: DNA-directed RNA polymerase III subunit RPC9-like
LOCMI06575	LOCMI06575	C4WXE7_ACYPI ACYPI004941 protein
LOCMI06577	LOCMI06577	Thyroid hormone receptor-associated protein, putative
LOCMI06579	LOCMI06579	B0X5B1_CULQU Putative uncharacterized protein
LOCMI06581	LOCMI06581	B4KDC3_DROMO GI10248
LOCMI06586	LOCMI06586	PREDICTED: protein max-like
LOCMI06593	LOCMI06593	B0WUW9_CULQU Set domain protein
LOCMI06597	LOCMI06597	coiled-coil domain-containing protein 16
LOCMI06598	LOCMI06598	Charged multivesicular body protein 5
LOCMI06600	LOCMI06600	BESS motif
LOCMI06602	LOCMI06602	60S ribosomal protein L9
LOCMI06603	LOCMI06603	GL12416
LOCMI06604	LOCMI06604	Q1HQ22_BOMMO N-acetyltransferase
LOCMI06607	LOCMI06607	B7PXC6_IXOSC Putative uncharacterized protein
LOCMI06608	LOCMI06608	B0W494_CULQU Putative uncharacterized protein
LOCMI06609	LOCMI06609	PREDICTED: NADP-dependent malic enzyme-like
LOCMI06611	LOCMI06611	PREDICTED: alpha-tocopherol transfer protein-like
LOCMI06614	LOCMI06614	putative shoc2
LOCMI06618	LOCMI06618	PREDICTED: clavesin-1-like
LOCMI06619	LOCMI06619	PREDICTED: similar to meiosis-specific MutS homolog
LOCMI06620	LOCMI06620	B4LFE0_DROVI GJ13138
LOCMI06622	LOCMI06622	innexin 1
LOCMI06623	LOCMI06623	Structural maintenance of chromosomes protein 1A
LOCMI06624	LOCMI06624	PREDICTED: inward rectifier potassium channel 2-like
LOCMI06629	LOCMI06629	B1H169_XENTR LOC100145308 protein
LOCMI06630	LOCMI06630	PREDICTED: transmembrane protein 165-like
LOCMI06631	LOCMI06631	B7QCQ2_IXOSC Discoidin domain receptor, putative (Fragment)
LOCMI06634	LOCMI06634	cytochrome oxidase biogenesis protein (oxa1 mitochondrial)
LOCMI06636	LOCMI06636	B0X3N7_CULQU N-acetyl galactosaminyl transferase 6
LOCMI06637	LOCMI06637	Q173E4_AEDAE Cullin
LOCMI06641	LOCMI06641	PREDICTED: putative fatty acyl-CoA reductase CG5065-like
LOCMI06642	LOCMI06642	AGAP005203-PD
LOCMI06643	LOCMI06643	Mannose-1-phosphate guanyltransferase beta
LOCMI06646	LOCMI06646	PREDICTED: TBC1 domain family member 9
LOCMI06647	LOCMI06647	PREDICTED: putative gamma-glutamyltransferase ywrD-like
LOCMI06649	LOCMI06649	CG32808
LOCMI06650	LOCMI06650	PREDICTED: similar to putative serine proteinase
LOCMI06652	LOCMI06652	PREDICTED: ubiquitin-protein ligase E3C-like
LOCMI06654	LOCMI06654	PREDICTED: condensin complex subunit 1-like isoform 1
LOCMI06657	LOCMI06657	GPI-GlcNAc transferase complex, PIG-H component, conserved domain
LOCMI06662	LOCMI06662	B3P0T9_DROER GG16908
LOCMI06663	LOCMI06663	Q4RRA6_TETNG Chromosome 14 SCAF15003, whole genome shotgun sequence. (Fragment)
LOCMI06665	LOCMI06665	heat shock protein 70-p3
LOCMI06666	LOCMI06666	B4M5J2_DROVI GJ10591
LOCMI06669	LOCMI06669	Histone H5
LOCMI06670	LOCMI06670	PREDICTED: protein downstream neighbor of son homolog
LOCMI06672	LOCMI06672	PREDICTED: LOW QUALITY PROTEIN: mitochondrial 2-oxoglutarate/malate carrier protein
LOCMI06675	LOCMI06675	GH19960
LOCMI06677	LOCMI06677	PREDICTED: alpha-tocopherol transfer protein-like
LOCMI06678	LOCMI06678	Tropomodulin
LOCMI06681	LOCMI06681	Q16R52_AEDAE U2 snrnp auxiliary factor, small subunit
LOCMI06683	LOCMI06683	Q16WX7_AEDAE Rrm/rnp domain
LOCMI06685	LOCMI06685	PREDICTED: beta-1,3-galactosyltransferase brn-like
LOCMI06686	LOCMI06686	ubx domain-containing protein, putative
LOCMI06687	LOCMI06687	G2/M phase-specific E3 ubiquitin-protein ligase
LOCMI06688	LOCMI06688	Cytoplasmic phosphatidylinositol transfer protein 1
LOCMI06689	LOCMI06689	PREDICTED: protein tumorous imaginal discs, mitochondrial-like
LOCMI06691	LOCMI06691	PREDICTED: raf homolog serine/threonine-protein kinase phl-like
LOCMI06692	LOCMI06692	Dynactin subunit 5
LOCMI06693	LOCMI06693	GL12416
LOCMI06694	LOCMI06694	acidic ribosomal protein
LOCMI06695	LOCMI06695	Aspartyl-tRNA synthetase, mitochondrial
LOCMI06696	LOCMI06696	PREDICTED: tubulin-specific chaperone E-like
LOCMI06699	LOCMI06699	B0XB85_CULQU Putative uncharacterized protein
LOCMI06701	LOCMI06701	PREDICTED: urea transporter 2-like
LOCMI06703	LOCMI06703	AGAP003485-PA
LOCMI06705	LOCMI06705	Q7T2P5_DANRE LOC402845 protein (Fragment)
LOCMI06706	LOCMI06706	PREDICTED: RNA methyltransferase like 1
LOCMI06707	LOCMI06707	Putative tubulin polyglutamylase TTLL1
LOCMI06708	LOCMI06708	GF10864
LOCMI06709	LOCMI06709	solute carrier family 2
LOCMI06711	LOCMI06711	armadillo protein
LOCMI06712	LOCMI06712	Zinc finger protein 346
LOCMI06714	LOCMI06714	Autophagy-related protein 12
LOCMI06717	LOCMI06717	PREDICTED: ribosomal RNA small subunit methyltransferase NEP1-like
LOCMI06724	LOCMI06724	PREDICTED: zinc finger protein 93
LOCMI06727	LOCMI06727	Q17LG4_AEDAE Sentrin/sumo-specific protease senp7
LOCMI06729	LOCMI06729	tRNA-dihydrouridine synthase 2-like protein
LOCMI06730	LOCMI06730	sodium antiporter, putative
LOCMI06732	LOCMI06732	matrix metalloproteinase 1 isoform 1
LOCMI06734	LOCMI06734	PREDICTED: decaprenyl-diphosphate synthase subunit 2-like
LOCMI06735	LOCMI06735	Recombination repair protein, putative
LOCMI06737	LOCMI06737	Q173U6_AEDAE Transcription initiation factor TFIID subunit 6
LOCMI06738	LOCMI06738	membrin
LOCMI06740	LOCMI06740	B3EU24_AMOA5 Putative uncharacterized protein
LOCMI06741	LOCMI06741	PREDICTED: similar to kek1
LOCMI06742	LOCMI06742	Nuclear pore complex protein Nup98-Nup96
LOCMI06746	LOCMI06746	Histone deacetylase 6
LOCMI06747	LOCMI06747	PREDICTED: vesicle transport through interaction with t-SNAREs homolog 1B-like
LOCMI06748	LOCMI06748	PREDICTED: lysM and putative peptidoglycan-binding domain-containing protein 2-like
LOCMI06752	LOCMI06752	beta-1,3-glucuronyltransferase s, p
