G3-VS-S3.down-DOMAIN_Ensembl-Gene-Rankings.txt	
G3-VS-S3.down-DOMAIN_Ensembl-Gene-Rankings.txt	GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI11161	LOCMI11161	PREDICTED: chorion peroxidase-like	5	0.333333333333	LOCMI11161	tetrapyrrole binding // response to stress // iron ion binding // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI10884	LOCMI10884	Chorion peroxidase precursor, putative	5	0.333333333333	LOCMI10884	tetrapyrrole binding // response to stress // iron ion binding // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI08967	LOCMI08967	peroxidasin	5	0.333333333333	LOCMI08967	tetrapyrrole binding // response to stress // iron ion binding // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI05775	LOCMI05775	Chorion peroxidase precursor, putative	5	0.333333333333	LOCMI05775	tetrapyrrole binding // response to stress // iron ion binding // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI05040	LOCMI05040	Chorion peroxidase precursor, putative	5	0.333333333333	LOCMI05040	tetrapyrrole binding // response to stress // iron ion binding // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI04667	LOCMI04667	Cytochrome P450 IPR008066; Cytochrome P450, E-class, group I, CYP1	5	0.333333333333	LOCMI04667	tetrapyrrole binding // electron carrier activity // iron ion binding // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI01033	LOCMI01033	B0WXB4_CULQU Oxidase/peroxidase	5	0.333333333333	LOCMI01033	tetrapyrrole binding // response to stress // iron ion binding // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI17073	LOCMI17073	tryptophan 2,3-dioxygenase	3	0.2	LOCMI17073	aromatic amino acid family metabolic process // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16397	LOCMI16397	phenylalanine-tryptophan hydroxylase	3	0.2	LOCMI16397	aromatic amino acid family metabolic process // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16260	LOCMI16260	glutathione peroxidase 6 precursor, putative	3	0.2	LOCMI16260	response to stress // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16251	LOCMI16251	Probable phospholipid hydroperoxide glutathione peroxidase	3	0.2	LOCMI16251	response to stress // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16061	LOCMI16061	L-lactate dehydrogenase	3	0.2	LOCMI16061	carbohydrate metabolic process // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI15975	LOCMI15975	PREDICTED: predicted protein-like	3	0.2	LOCMI15975	carbohydrate metabolic process // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI15879	LOCMI15879	AGAP004786-PA	3	0.2	LOCMI15879	carbohydrate metabolic process // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI15836	LOCMI15836	sn-glycerol-3-phosphate dehydrogenase isoform 4	3	0.2	LOCMI15836	carbohydrate metabolic process // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI15324	LOCMI15324	PREDICTED: histone H2B.3-like	3	0.2	LOCMI15324	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI13541	LOCMI13541	unnamed protein product	3	0.2	LOCMI13541	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI13526	LOCMI13526	Histone H2B	3	0.2	LOCMI13526	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI13448	LOCMI13448	PREDICTED: inositol oxygenase-like	3	0.2	LOCMI13448	carbohydrate metabolic process // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI13447	LOCMI13447	PREDICTED: inositol oxygenase-like	3	0.2	LOCMI13447	carbohydrate metabolic process // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI13445	LOCMI13445	myo-inositol oxygenase	3	0.2	LOCMI13445	carbohydrate metabolic process // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI13444	LOCMI13444	PREDICTED: inositol oxygenase-like	3	0.2	LOCMI13444	carbohydrate metabolic process // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI12024	LOCMI12024	histone H4	3	0.2	LOCMI12024	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI11532	LOCMI11532	GM13181	3	0.2	LOCMI11532	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI11377	LOCMI11377	histone H2A	3	0.2	LOCMI11377	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI11273	LOCMI11273	B9P9M4_POPTR Putative uncharacterized protein	3	0.2	LOCMI11273	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI11032	LOCMI11032	GD12842	3	0.2	LOCMI11032	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI08907	LOCMI08907	GG11021	3	0.2	LOCMI08907	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI08555	LOCMI08555	histone H2A	3	0.2	LOCMI08555	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI08350	LOCMI08350	Histone H2B	3	0.2	LOCMI08350	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI08311	LOCMI08311	PREDICTED: histone H3.2-like	3	0.2	LOCMI08311	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI06335	LOCMI06335	Histone H3c	3	0.2	LOCMI06335	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI06259	LOCMI06259	histone H2B	3	0.2	LOCMI06259	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI05750	LOCMI05750	histone h2a	3	0.2	LOCMI05750	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI05509	LOCMI05509	RecName: Full=Histone H2B.3 gb|AAC41557.1| histone H2B-3	3	0.2	LOCMI05509	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI05487	LOCMI05487	predicted protein	3	0.2	LOCMI05487	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI05311	LOCMI05311	histone H4	3	0.2	LOCMI05311	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI04013	LOCMI04013	histone H2A	3	0.2	LOCMI04013	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI03602	LOCMI03602	Q17ER9_AEDAE Histone H2B	3	0.2	LOCMI03602	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI03436	LOCMI03436	tyrosine 3-monooxygenase, putative	3	0.2	LOCMI03436	aromatic amino acid family metabolic process // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI03330	LOCMI03330	histone H2B	3	0.2	LOCMI03330	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI02995	LOCMI02995	histone 3	3	0.2	LOCMI02995	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI02904	LOCMI02904	histone H2B type 1-N	3	0.2	LOCMI02904	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI02850	LOCMI02850	Histone H3c	3	0.2	LOCMI02850	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI02396	LOCMI02396	pale, isoform A	3	0.2	LOCMI02396	aromatic amino acid family metabolic process // oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI01686	LOCMI01686	Histone H2B	3	0.2	LOCMI01686	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI01334	LOCMI01334	predicted protein	3	0.2	LOCMI01334	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI00917	LOCMI00917	GM19716	3	0.2	LOCMI00917	chromatin assembly or disassembly // chromatin // chromosome
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI17331	LOCMI17331	Q0Z942_TRICA Chitinase 7	2	0.133333333333	LOCMI17331	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI17185	LOCMI17185	PREDICTED: chitinase-like protein Idgf4-like	2	0.133333333333	LOCMI17185	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI17170	LOCMI17170	PREDICTED: chitinase-like protein Idgf4-like	2	0.133333333333	LOCMI17170	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI17127	LOCMI17127	PREDICTED: chitinase-like protein Idgf4-like isoform 1	2	0.133333333333	LOCMI17127	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI17048	LOCMI17048	chitinase 5 precursor	2	0.133333333333	LOCMI17048	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16387	LOCMI16387	D7ELE5_TRICA Putative uncharacterized protein	2	0.133333333333	LOCMI16387	oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI15906	LOCMI15906	PREDICTED: similar to GA11371-PA	2	0.133333333333	LOCMI15906	oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI15873	LOCMI15873	Acyl-CoA Delta(11) desaturase	2	0.133333333333	LOCMI15873	oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI15511	LOCMI15511	heat shock protein 20.6	2	0.133333333333	LOCMI15511	response to abiotic stimulus // response to stress
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI15510	LOCMI15510	heat shock protein 20.5	2	0.133333333333	LOCMI15510	response to abiotic stimulus // response to stress
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI15488	LOCMI15488	glycogen synthase	2	0.133333333333	LOCMI15488	carbohydrate metabolic process // oxidation-reduction process
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI15049	LOCMI15049	PREDICTED: dihydropyrimidine dehydrogenase	2	0.133333333333	LOCMI15049	oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI14928	LOCMI14928	putative alcohol dehydrogenase	2	0.133333333333	LOCMI14928	oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI14059	LOCMI14059	B7QI99_IXOSC Globin, putative	2	0.133333333333	LOCMI14059	tetrapyrrole binding // iron ion binding
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI13963	LOCMI13963	Laccase2	2	0.133333333333	LOCMI13963	oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI09783	LOCMI09783	PREDICTED: putative fatty acyl-CoA reductase CG5065-like	2	0.133333333333	LOCMI09783	oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI08955	LOCMI08955	PREDICTED: retinol dehydrogenase 11-like	2	0.133333333333	LOCMI08955	oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI08954	LOCMI08954	PREDICTED: retinol dehydrogenase 11-like	2	0.133333333333	LOCMI08954	oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI08784	LOCMI08784	PREDICTED: glutaredoxin-related protein 5, mitochondrial-like	2	0.133333333333	LOCMI08784	electron carrier activity // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI06775	LOCMI06775	beta-1,4-endoglucanase	2	0.133333333333	LOCMI06775	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI06773	LOCMI06773	beta-1,4-endoglucanase	2	0.133333333333	LOCMI06773	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI05827	LOCMI05827	protein lethal, putative	2	0.133333333333	LOCMI05827	response to abiotic stimulus // response to stress
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI05703	LOCMI05703	epsilon-trimethyllysine 2-oxoglutarate dioxygenase	2	0.133333333333	LOCMI05703	oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI05288	LOCMI05288	putative alcohol dehydrogenase	2	0.133333333333	LOCMI05288	oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI05015	LOCMI05015	malate dehydrogenase	2	0.133333333333	LOCMI05015	oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI04519	LOCMI04519	PREDICTED: procollagen-lysine,2-oxoglutarate 5-dioxygenase 3-like	2	0.133333333333	LOCMI04519	oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI03841	LOCMI03841	PREDICTED: dehydrogenase/reductase SDR family member 11-like	2	0.133333333333	LOCMI03841	oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI03761	LOCMI03761	B0W8Y2_CULQU Uricase	2	0.133333333333	LOCMI03761	oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI03383	LOCMI03383	beta-1,4-endoglucanase	2	0.133333333333	LOCMI03383	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI03281	LOCMI03281	Q16FH6_AEDAE Putative uncharacterized protein	2	0.133333333333	LOCMI03281	tetrapyrrole binding // iron ion binding
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI03021	LOCMI03021	Q17D83_AEDAE Putative uncharacterized protein	2	0.133333333333	LOCMI03021	oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI02015	LOCMI02015	PREDICTED: chitinase-like protein Idgf4-like	2	0.133333333333	LOCMI02015	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI01741	LOCMI01741	cellulase	2	0.133333333333	LOCMI01741	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI01455	LOCMI01455	Glycoside hydrolase, family 1 IPR017853; Glycoside hydrolase, catalytic core	2	0.133333333333	LOCMI01455	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI01323	LOCMI01323	beta-1,4-endoglucanase	2	0.133333333333	LOCMI01323	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI01286	LOCMI01286	cellulase	2	0.133333333333	LOCMI01286	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI01266	LOCMI01266	putative alcohol dehydrogenase	2	0.133333333333	LOCMI01266	oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI01242	LOCMI01242	PREDICTED: synaptic vesicle membrane protein VAT-1 homolog isoform 1	2	0.133333333333	LOCMI01242	oxidation-reduction process // oxidoreductase activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI00796	LOCMI00796	beta-1,4-endoglucanase	2	0.133333333333	LOCMI00796	carbohydrate metabolic process // hydrolase activity, acting on glycosyl bonds
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI17322	LOCMI17322	GK14160	1	0.0666666666667	LOCMI17322	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI17211	LOCMI17211	cuticular protein RR-1 motif 45 precursor	1	0.0666666666667	LOCMI17211	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI17206	LOCMI17206	B4P5B5_DROYA GE12453	1	0.0666666666667	LOCMI17206	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI17205	LOCMI17205	B2DBP1_9NEOP Cuticular protein CPR2	1	0.0666666666667	LOCMI17205	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI17181	LOCMI17181	B0ZYQ1_LEPDE Putative cuticle protein CP5	1	0.0666666666667	LOCMI17181	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI17141	LOCMI17141	Q2LZE6_DROPS GA10226	1	0.0666666666667	LOCMI17141	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI17132	LOCMI17132	Q7PM44_ANOGA Cuticular protein 78, RR-1 family (AGAP009876-PA)	1	0.0666666666667	LOCMI17132	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16851	LOCMI16851	Q16PW8_AEDAE Pupal cuticle protein, putative	1	0.0666666666667	LOCMI16851	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16834	LOCMI16834	PREDICTED: similar to Cuticular protein 62Bc CG1919-PA	1	0.0666666666667	LOCMI16834	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16833	LOCMI16833	protein rtoA, putative	1	0.0666666666667	LOCMI16833	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16819	LOCMI16819	Insect cuticle protein	1	0.0666666666667	LOCMI16819	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16802	LOCMI16802	DrosGluCl, putative	1	0.0666666666667	LOCMI16802	transporter activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16797	LOCMI16797	PREDICTED: similar to Shaker CG12348-PC	1	0.0666666666667	LOCMI16797	transporter activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16781	LOCMI16781	adult cuticle protein, putative	1	0.0666666666667	LOCMI16781	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16739	LOCMI16739	endocuticle structural glycoprotein SgAbd-8	1	0.0666666666667	LOCMI16739	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16731	LOCMI16731	PREDICTED: endocuticle structural glycoprotein SgAbd-2-like	1	0.0666666666667	LOCMI16731	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16721	LOCMI16721	TPAputative cuticle protein	1	0.0666666666667	LOCMI16721	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16718	LOCMI16718	GA21674	1	0.0666666666667	LOCMI16718	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16712	LOCMI16712	hexamerin-like protein 1	1	0.0666666666667	LOCMI16712	transporter activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16677	LOCMI16677	Endocuticle structural glycoprotein SgAbd-8, putative	1	0.0666666666667	LOCMI16677	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16673	LOCMI16673	Pro-resilin	1	0.0666666666667	LOCMI16673	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16660	LOCMI16660	methionine-rich hexamerin-like protein 1	1	0.0666666666667	LOCMI16660	transporter activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16641	LOCMI16641	TPA: putative cuticle protein	1	0.0666666666667	LOCMI16641	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16640	LOCMI16640	E2BNC7_9HYME Cuticle protein 18.6, isoform A	1	0.0666666666667	LOCMI16640	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16639	LOCMI16639	E0VEY8_PEDHC Cutile protein, putative	1	0.0666666666667	LOCMI16639	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16638	LOCMI16638	GH17178	1	0.0666666666667	LOCMI16638	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16637	LOCMI16637	PREDICTED: similar to Cuticular protein 62Bc CG1919-PA	1	0.0666666666667	LOCMI16637	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16632	LOCMI16632	D6WIZ6_TRICA Putative uncharacterized protein	1	0.0666666666667	LOCMI16632	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16630	LOCMI16630	putative cuticle protein CPR151	1	0.0666666666667	LOCMI16630	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16629	LOCMI16629	protein rtoA, putative	1	0.0666666666667	LOCMI16629	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16628	LOCMI16628	cuticle protein, putative	1	0.0666666666667	LOCMI16628	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16627	LOCMI16627	protein rtoA, putative	1	0.0666666666667	LOCMI16627	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16626	LOCMI16626	C0H6Y4_BOMMO Putative cuticle protein	1	0.0666666666667	LOCMI16626	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16618	LOCMI16618	TPAputative cuticle protein	1	0.0666666666667	LOCMI16618	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16610	LOCMI16610	Q7QIK6_ANOGA Cuticular protein 111, RR-3 family (AGAP006931-PA)	1	0.0666666666667	LOCMI16610	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16609	LOCMI16609	D6WNV3_TRICA Putative uncharacterized protein	1	0.0666666666667	LOCMI16609	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16606	LOCMI16606	cuticle protein, putative	1	0.0666666666667	LOCMI16606	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16604	LOCMI16604	B4H6H2_DROPE GL15514	1	0.0666666666667	LOCMI16604	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16602	LOCMI16602	cuticle protein	1	0.0666666666667	LOCMI16602	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16600	LOCMI16600	RecName: Full=Cuticle protein 19; AltName: Full=LM-ACP 19; Short=LM-19 gb|AAB34514.1| Lm-ACP19=wing cuticle protein	1	0.0666666666667	LOCMI16600	structural molecule activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16588	LOCMI16588	methionine-rich hexamerin-like protein 1	1	0.0666666666667	LOCMI16588	transporter activity
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16435	LOCMI16435	RecName: Full=Peptidoglycan-recognition protein 2; AltName: Full=Hd-PGRP-2; Flags: Precursor dbj|BAD08317.1| peptidoglycan recognition protein-2	1	0.0666666666667	LOCMI16435	carbohydrate metabolic process
Gadult-VS-Sadult.up-GO_Ensembl-Gene-Rankings.txt	LOCMI16434	LOCMI16434	D6WIN8_TRICA Putative uncharacterized protein	1	0.0666666666667	LOCMI16434	carbohydrate metabolic process
